Date ,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
02-Mar-23,17217.05,17236.1,17112.65,17129.65,481862468,27792.6
03-Mar-23,17258.2,17433.9,17241.4,17385.95,596778663,31656.82
06-Mar-23,17475.25,17586.05,17467.8,17506.3,585488694,33244.89
08-Mar-23,17463.9,17564.4,17399.05,17552.95,458351746,29338.65
09-Mar-23,17578.25,17582.3,17382,17398.3,432573906,26785.92
10-Mar-23,17261.4,17269.1,17147,17244.3,415795244,24982.79
13-Mar-23,17257.25,17358.55,16960,16997.3,454645663,28580.14
14-Mar-23,17003.35,17060.05,16826.1,16887.05,520928878,33037.62
15-Mar-23,17002.75,17044.1,16795.5,16825.05,429851280,28858.79
16-Mar-23,16844.75,16923.85,16696.25,16852.25,1026773403,33963.57
17-Mar-23,16981.1,17014.3,16843,16964.8,828361517,40396.22
20-Mar-23,16920.9,16922.75,16700.25,16852.9,511597450,29047.8
21-Mar-23,16926.25,16990.45,16876.7,16970.5,449965572,28177.95
22-Mar-23,17041.9,17075.1,16987.5,17026.2,412213138,22184.13
23-Mar-23,16977.45,17075.7,16929.5,16958.15,424685624,26798.07
24-Mar-23,16966.7,16998.4,16806.1,16831.8,488074868,27921.35
27-Mar-23,16870.3,16953.55,16802.55,16849.3,480631714,25956.42
28-Mar-23,16884.75,16905.3,16758.1,16795.35,486814077,27424.36
29-Mar-23,16808.85,16962.7,16791.3,16918.05,667661992,36382.71
31-Mar-23,17043,17206.85,17036.1,17186.15,578037133,33474.53
03-Apr-23,17256.2,17256.2,17141.45,17224.75,418007489,26066.51
05-Apr-23,17245.65,17387.8,17232.65,17373.95,456502915,30384.32
06-Apr-23,17357.55,17451.1,17321.3,17414.65,433282462,31042.29
10-Apr-23,17454.05,17510.3,17422.9,17446.3,442890400,26385.67
11-Apr-23,17528.45,17571.05,17476.2,17540.8,473151367,30987.25
12-Apr-23,17582.8,17638.95,17539.95,17626.9,404282448,29354.6
13-Apr-23,17624.45,17647.7,17546.55,17635.15,441185064,32264.63
17-Apr-23,17667.3,17667.3,17411.55,17543.45,512403345,41207.31
18-Apr-23,17600.55,17600.55,17457.45,17510.85,418075432,28896.71
19-Apr-23,17507.45,17513.85,17421.8,17455.45,463842242,27003.4
20-Apr-23,17476.05,17515.5,17422.2,17459.85,354366507,23905.38
21-Apr-23,17476.1,17493.2,17388.55,17455.25,453374786,24047.13
24-Apr-23,17532.6,17574.85,17446.1,17564.4,412469788,27620.82
25-Apr-23,17582.2,17633.4,17546.8,17600.05,628545320,35183.15
26-Apr-23,17598.3,17657.7,17549.7,17645.55,410365983,26396.03
27-Apr-23,17646.45,17755.15,17631.7,17739.95,465247300,29665.51
28-Apr-23,17777.4,17926.05,17726.7,17903.95,713233004,36877.68
02-May-23,17964.35,18020.6,17943.5,17989.3,533631068,30870.2
03-May-23,17958.15,17971.25,17895.35,17941.1,451628664,26902.75
04-May-23,17938.6,18110.3,17923.45,18099.75,508491455,29763.81
05-May-23,17982.05,18076.7,17925.55,17939.25,480774129,32948.89
08-May-23,17984.55,18137,17966.25,18118.5,486563178,29634.12
09-May-23,18154.85,18198.85,18078.2,18114.05,530879123,31264.23
10-May-23,18158.05,18182.4,18064.6,18170.85,419927757,27481.89
11-May-23,18218.8,18242.35,18146.65,18174.25,440356073,32532.5
12-May-23,18152.7,18212.15,18070.1,18181.95,440043013,28764.3
15-May-23,18202.85,18317.7,18157.9,18258.1,411997113,26245.69
16-May-23,18291.6,18291.7,18141.7,18162.25,495619498,28448.79
17-May-23,18178.6,18186.75,17991.85,18056.7,433248145,27242.54
18-May-23,18156.75,18165.65,17964.35,17985.75,489486272,30150.89
19-May-23,18034.5,18074.5,17911.7,18060.35,498457987,29660.66
22-May-23,18065.65,18199.5,18040.45,18180.9,572350358,33885.85
23-May-23,18236.5,18287.45,18197.8,18219.8,501398613,35981.27
24-May-23,18178.55,18267.8,18149.3,18170,446478175,32293.85
25-May-23,18158.3,18230.35,18102.15,18213.6,543656757,30019.43
26-May-23,18256.15,18400.7,18223.3,18393.05,454357252,28516.26
29-May-23,18512.5,18532.25,18472.6,18490.25,472161867,27322.07
30-May-23,18500.15,18546.9,18470.1,18516.95,424836974,29428.63
31-May-23,18479.15,18484.5,18380.25,18438.3,1308657926,94251.62
01-Jun-23,18482.85,18493.25,18383.8,18405.7,465656547,31788.3
02-Jun-23,18469.25,18492.05,18402.7,18457,600189380,31057.96
05-Jun-23,18529.95,18554.9,18502.7,18513.85,494484215,27588.74
06-Jun-23,18525.35,18550.65,18459.8,18527.85,418121712,29157.32
07-Jun-23,18596.05,18671.6,18566.1,18659.65,469480614,28827.58
08-Jun-23,18665.4,18706.05,18546.1,18562.95,531220263,29750.54
09-Jun-23,18588.2,18607.15,18493.1,18502.1,426883077,27566.17
12-Jun-23,18537,18570.2,18498.3,18545.8,422942689,22530.08
13-Jun-23,18581.8,18679.25,18581.4,18668,455467417,29824.73
14-Jun-23,18700.25,18719.5,18644.75,18705.25,489264134,26472.8
15-Jun-23,18727.3,18757.45,18633.65,18653.6,485885011,31597.84
16-Jun-23,18695.35,18835.95,18683.35,18798.55,506983700,38661.2
19-Jun-23,18847.8,18855.75,18698.25,18732.8,430878393,29689.02
20-Jun-23,18736.3,18816.4,18651.85,18794.6,394048321,27332.93
21-Jun-23,18829.7,18858.2,18774.65,18827.8,430967143,26673.51
22-Jun-23,18830.35,18850.4,18710.3,18722.7,458714217,31561.09
23-Jun-23,18698.95,18710.05,18580.95,18595.75,415956951,28857.46
26-Jun-23,18600.65,18654.95,18578.05,18632.75,333203321,24556.79
27-Jun-23,18690.95,18761.5,18662.45,18751.3,410976528,28545.91
28-Jun-23,18840.8,18926.05,18795.75,18901.2,700212815,51036.63
30-Jun-23,18999.95,19110.5,18953.2,19099.55,517142806,38494.66
03-Jul-23,19159.95,19243.1,19148.55,19223.85,450398688,29150.6
04-Jul-23,19305.55,19318.7,19196.85,19270.55,386772641,32396.26
